scenario,group,day,S,I_P,I_W,R_P,total,pressure,risk_ratio
uncertainty_alpha_1_cv_0.05,uncertainty,40,0.01736989203554486,0.12231775896471836,0.007899787672894988,0.8524125613268417,1.0,0.13021754663761334,0.06458414329822396
uncertainty_alpha_1_cv_0.05,uncertainty,41,0.018343454001405992,0.11608985062019928,0.008204377220858063,0.8573623181575366,1.0,0.12429422784105734,0.0706726486167993
uncertainty_alpha_1_cv_0.05,uncertainty,42,0.01934275667289469,0.11028440150983958,0.008510021578945629,0.8618628202383201,1.0,0.11879442308878521,0.07716432661772539
uncertainty_alpha_1_cv_0.05,uncertainty,43,0.020367005016059942,0.10487150094539227,0.008816525959549812,0.8659449680789979,1.0,0.11368802690494208,0.0840697985636791
uncertainty_alpha_1_cv_0.05,uncertainty,44,0.021415327933525744,0.09982344694704719,0.009123743692932054,0.8696374814264949,0.9999999999999999,0.10894719063997924,0.0913988043086899
uncertainty_alpha_1_cv_0.05,uncertainty,45,0.02248678050380823,0.09511458662050207,0.009431572865331556,0.8729670600103581,0.9999999999999999,0.10454615948583362,0.09916010993100997
uncertainty_alpha_1_cv_0.05,uncertainty,46,0.023580346835547845,0.0907211672261891,0.009739953310393745,0.8759585326278693,1.0,0.10046112053658285,0.10736141970164208
uncertainty_alpha_1_cv_0.05,uncertainty,47,0.024694943200911347,0.08662119741847664,0.010048864022344773,0.8786349953582672,0.9999999999999999,0.09667006144082141,0.11600929474338242
uncertainty_alpha_1_cv_0.05,uncertainty,48,0.0258294215207987,0.0827943181026662,0.010358320718304224,0.8810179396582307,0.9999999999999999,0.09315263882097043,0.12510907699559468
uncertainty_alpha_1_cv_0.05,uncertainty,49,0.026982573136587126,0.07922168235535307,0.010668373461846953,0.8831273710462128,0.9999999999999999,0.08989005581720003,0.1346648183257886
uncertainty_alpha_1_cv_0.05,uncertainty,50,0.0281531326023774,0.07588584386254513,0.01097910449495832,0.884981919040119,0.9999999999999999,0.08686494835750344,0.14467921731021643
uncertainty_alpha_1_cv_0.15,uncertainty,0,0.98,0.01,0.01,0.0,1.0,0.02,1.0
uncertainty_alpha_1_cv_0.15,uncertainty,1,0.948929818098752,0.019304706862262735,0.030756284856909358,0.0010091901820757547,0.9999999999999999,0.050060991719172096,1.593201340810433
uncertainty_alpha_1_cv_0.15,uncertainty,2,0.8841705917902959,0.03687086502495302,0.07601575750687306,0.0029427856778778475,0.9999999999999999,0.11288662253182608,2.061675457178128
uncertainty_alpha_1_cv_0.15,uncertainty,3,0.7657207660807259,0.069032155527668,0.1586523454946643,0.006594732896941648,1.0,0.22768450102233231,2.2982383250523974
uncertainty_alpha_1_cv_0.15,uncertainty,4,0.5884172487580629,0.12472192256519171,0.2735555030814587,0.013305325595286549,0.9999999999999999,0.3982774256466504,2.193323334464093
uncertainty_alpha_1_cv_0.15,uncertainty,5,0.3870401768298029,0.21235127416370309,0.37554670305821086,0.025061845948283375,1.0000000000000002,0.587897977221914,1.7685163629802347
uncertainty_alpha_1_cv_0.15,uncertainty,6,0.21928749129022845,0.3310305353368459,0.4055043704794523,0.044177602893473465,1.0000000000000002,0.7365349058162982,1.2249757263837435
uncertainty_alpha_1_cv_0.15,uncertainty,7,0.11297050668309441,0.46164084838622255,0.35312213177040935,0.07226651316027366,0.9999999999999999,0.8147629801566318,0.764928261883309
uncertainty_alpha_1_cv_0.15,uncertainty,8,0.05695832376332864,0.5734850407271432,0.26050082951909853,0.10905580599042947,0.9999999999999998,0.8339858702462417,0.45424171690476833
uncertainty_alpha_1_cv_0.15,uncertainty,9,0.02981537820670388,0.6455852610941579,0.172288395510752,0.15231096518838613,1.0,0.81787365660491,0.266871637092136
uncertainty_alpha_1_cv_0.15,uncertainty,10,0.016706728259660103,0.6767676329434179,0.10750084699864304,0.1990247917982788,0.9999999999999999,0.784268479942061,0.1588445454034159
uncertainty_alpha_1_cv_0.15,uncertainty,11,0.010138931931373218,0.6775143349090924,0.0657393023056792,0.24660743085385514,0.9999999999999999,0.7432536372147716,0.09703012750940536
uncertainty_alpha_1_cv_0.15,uncertainty,12,0.006713230852225872,0.6595618304037532,0.04040860778081041,0.2933163309632106,1.0,0.6999704381845636,0.06126583728484429
uncertainty_alpha_1_cv_0.15,uncertainty,13,0.00488738516520204,0.6315807838442177,0.02537906435390452,0.33815276663667576,1.0,0.6569598481981221,0.04018340171692808
uncertainty_alpha_1_cv_0.15,uncertainty,14,0.003927035847520249,0.5989760962827768,0.01647762634921132,0.38061924152049165,1.0,0.6154537226319882,0.027509655980381936
uncertainty_alpha_1_cv_0.15,uncertainty,15,0.003461594588806929,0.564853138110693,0.011167808882064856,0.42051745841843524,1.0,0.5760209469927579,0.019771172590841348
